ID,Title,ISBN,no,"
Proposed_by",Book_number
1,The Art of Communication,9.78144E+12,1,Mairenallen Joy Basilio,P90 .F783 2016
2,The Global Rise of Asian Transformation,9.78114E+12,1,Mairenallen Joy Basilio,HC412 .H784 2014
3,Media Effects and Society,9.78042E+12,1,Mairenallen Joy Basilio,P94 .P384 2017
4,Cross-Cultural Journalism: Communicating Strategically About Diversity,9.78114E+12,1,Mairenallen Joy Basilio,PN4749 .C76 2016
5,Lexical Processing and Second Language Acquisition,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,P118.2 .T65 2015
6,Second Language Sentence Processing,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,P118.2 .J87 2015
7,Theories in Second Language Acquisition,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,P118.2 .T45 2015
8,Corpus Linguistics for Grammar,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,PE1128.A2 J76 2015
9,Teaching and Researching: Reading,9.78141E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,LB1050 .G668 2013
10,The Diagnosis of Reading in a Second or Foreign Language,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,P118.2 .D53 2015
11,A Functional Discourse Grammar for English,9.7802E+12,1,ดร.ฑิฆัมพร วุฒิพรพงษ์,P167 .K45 2015
12,อ่านวรรณกรรม GEN Z,9.78616E+12,2,ดร.สิทธินันท์ ศรีอ่อน,PL4200.5 ร556 2560
13,นานมาแล้ว :มีเรื่องเล่า นิทาน ตำนาน ชีวิต,9.78974E+12,2,ผศ ชญานนท์ แสงศรีจันทร์,GR312 ป141น 2556
14,ทฤษฎีคติชนวิทยา :วิธีวิทยาในการวิเคราะห์ตำนาน- นิทานพื้นบ้าน,,2,ผศ ชญานนท์ แสงศรีจันทร์,GR312 ศ444ท 2557
15,การวิจัยวรรณคดี,9.78975E+12,2,ผศ ชญานนท์ แสงศรีจันทร์,PN73 ก732 2556
16,ภาษาไทยสำหรับชาวต่างชาติ (THAI FOR A FOREIGNERS),9.78616E+12,5,ผศ.ชมพูนุท ธารีเธียร,PL4158.8 ส184 2559
17,ไวยากรณ์ของนิทาน :การศึกษานิทานเชิงโครงสร้าง,9.78617E+12,5,ผศ.ชมพูนุท ธารีเธียร,GR550 976 2557
18,ไวยากรณ์ไทย :หนังสือชุดบรมราชกุมารีอักษรานุรักษ์ คณะอักษรศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ลำดับ 5,9.78617E+12,5,ผศ.ชมพูนุท ธารีเธียร,PL4161 น352 2558
19,"ภาษากฎหมายไทย (เพิ่มบทความชื่อ ""คำอภิปรายเรื่องภาษากฎหมายไทย"")",9.78616E+12,5,ผศ.ชมพูนุท ธารีเธียร,KPT92 ธ515ภ 2555
20,ภาษาและภาษาศาสตร์,9.78616E+12,5,ผศ.ชมพูนุท ธารีเธียร,P121 ภ487 2559
21,ประวัติศาสตร์ไทยร่วมสมัย (A HISTORY OF THAILAND),9.78974E+12,1,ผศ.สมศรี ชัยวณิชยา,DS571 บ773 2559
22,ประวัติศาสตร์อีสาน,9.78616E+12,1,ผศ.สมศรี ชัยวณิชยา,DS588 ต761 2557
23,The Multilingual Turn: Implications for SLA,9.78042E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P118.2 .M86 2014
24,World Englishes Paperback with Audio CD,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1066 .K57 2007
25,Analysing Sentences: An Introduction to English Syntax,9.78114E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1375 .B87 2016
26,Morphology and Lexical Semantics,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P245 .L54 2008
27,An Introduction to English Morphology: Words and Their Structure,9.78075E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1171 .C27 2002
28,Contemporary Fiction : A Very Short Introduction,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PR889 .E15 2013
29,Motherless Tongues : The Insurgency of Language Amid Wars of Translation,9.78082E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P119.32.P45 R34 2016
30,Psychoanalysis : A Very Short Introduction,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,BF173 .P572 2015
31,Queer Wars,9.78075E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,HQ76.5 .A39 2016
32,Capital : An Abridged Edition,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,HB501 .M392 2008
33,A Room of One's Own and Three Guineas,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PR6045.O72 W913 2015
34,Studying Plays,9.78034E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PN1707 .W32 2016
35,The Odyssey,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PA4025.A5 H766 2008
36,The Iliad,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PA4025.A2 H766 2008
37,Selected Tales,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PT921 .G864 2009
38,Home,9.78147E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,Sst .S884H 2013
39,Under Western Eyes,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,Fic .C754 2008
40,Longing,9.78147E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,Sst .B789L 2013
41,40 Short Stories : A Portable Anthology,9.78132E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PN6120.2 .A15 2017
42,The Canon in Southeast Asian Literature,9.78114E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PL3508.05 .C36 2000
43,Analysing English Sentences (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1361 .R327 2016
